@relation sheep_weight

@attribute K_0_19 numeric
@attribute K_20_39 numeric
@attribute K_40_59 numeric
@attribute K_60_79 numeric
@attribute K_80_99 numeric
@attribute K_100_119 numeric
@attribute K_120_139 numeric
@attribute K_140_159 numeric
@attribute K_160_180 numeric
@attribute Major_axis numeric
@attribute Minor_axis numeric
@attribute Hu_0 numeric
@attribute Hu_1 numeric
@attribute Hu_2 numeric
@attribute Hu_3 numeric
@attribute Hu_4 numeric
@attribute Hu_5 numeric
@attribute Hu_6 numeric
@attribute Area numeric
@attribute Perimeter numeric
@attribute Weight numeric

@data
0,0,0,70,106,125,233,462,2727,800.7669256847142,354.1166027728936,0.0008695868512963035,3.423499353090624e-07,2.0636233854234087e-11,3.6281176401817255e-12,2.0593364176706226e-23,6.446747904905851e-16,2.369501965482373e-23,215103.0,2220.5525081157684,31.8
0,0,0,19,58,172,384,550,2875,928.7739559461737,331.6853520955195,0.0010074600163675917,6.077010308524032e-07,1.8734109801026286e-11,7.30082195219454e-12,8.419327265753957e-23,5.242679003309917e-15,-1.420711349607858e-23,235566.0,2383.096664428711,31.8
0,0,35,53,148,182,382,740,2624,891.367743199257,340.85260332198226,0.000989743796439507,5.43493084215949e-07,5.2464426692921207e-11,1.4146329689554223e-11,3.35814857653885e-22,5.954066322494182e-15,-1.8908265820599e-22,224435.0,2562.591173887253,31.8
0,0,0,51,163,192,385,657,2758,879.9994133561614,374.40414881423806,0.0009572009010977359,4.4060131286716e-07,9.200062495261996e-11,1.5828775193313753e-11,3.0531093287726213e-22,5.552719475041649e-16,5.21201169403232e-22,233075.0,2567.253080368042,31.8
0,0,0,85,127,145,222,487,2757,758.9663650281569,371.6112100091042,0.0008329039317022492,2.608921221259852e-07,3.6784487640036544e-11,3.0225396446939114e-12,-2.1024600182064568e-23,-1.3592976312696074e-15,-2.3952075395351044e-23,209158.5,2254.2509924173355,31.8
0,0,21,57,134,187,403,684,2727,877.6031410595697,349.95435004024023,0.0009660157127551951,4.91331221435577e-07,5.11483110049917e-11,9.431343888968355e-12,1.2243349683992197e-22,9.771759577706355e-16,-1.6709099027933088e-22,225383.0,2530.05712223053,31.8
0,0,0,29,124,168,379,438,3081,938.36943743122,346.5014098264534,0.0010112954028757251,5.90749562509813e-07,5.3727635798384946e-11,1.4371875726956357e-11,3.4379674031708663e-22,6.17394617972239e-15,2.0321294856417324e-22,241406.5,2489.8489714860916,31.8
0,0,0,86,117,102,130,667,2590,777.3567885041866,379.433017401975,0.0008055668146000208,2.4559237775011074e-07,1.0061402352496197e-11,2.880220687727685e-12,1.5444512577465913e-23,1.4167222294375109e-15,1.366666883291651e-24,226680.5,2231.6235758066177,33.2
0,0,2,83,76,137,231,447,2816,842.3368048196871,357.51941752924637,0.0008974610717497479,3.887142840810308e-07,4.159215144623676e-11,1.3907210639566594e-11,3.272292962564731e-22,7.782744015104605e-15,6.925015928546671e-23,227659.5,2355.731221318245,33.2
0,22,54,66,93,168,274,582,3190,952.440383830648,366.1173526042539,0.0009828508312343315,5.325887109499e-07,6.50843238901431e-11,2.660080755910084e-11,1.0878125464807816e-21,1.756570872916246e-14,2.0428837951687466e-22,258441.5,2740.927179455757,33.2
0,40,40,30,114,186,339,547,3045,914.5815653542599,353.59896444053106,0.0009636818463450868,5.084371222451775e-07,3.454552965997436e-11,1.461979223887607e-11,3.2615701748466893e-22,1.0050989868641727e-14,3.962086892603941e-23,243441.0,2646.625663757324,33.2
0,0,54,55,124,120,262,601,3076,907.7734261196491,363.0903495342266,0.0009492952886097866,4.725797721382833e-07,4.947994938558274e-11,2.0740706019457335e-11,6.579339130450415e-22,1.3415186395578899e-14,9.269089220990354e-23,245646.5,2641.755606532097,33.2
0,0,4,79,153,160,257,557,3120,889.7322763484378,378.95719134220866,0.000938102821175396,4.225053133945484e-07,8.39910256854331e-11,2.394482639163642e-11,9.5499302986302e-22,9.587838472632966e-15,-4.910101249517517e-22,243212.5,2617.353585600853,33.2
0,0,60,57,150,152,304,578,3133,912.5067423419971,360.50533127433755,0.0009524322516705911,4.833841804747618e-07,3.1526021113562906e-11,1.567880495657007e-11,3.478639765165649e-22,1.0763735767451668e-14,2.2350359617210156e-23,246556.0,2684.4246532917023,33.2
0,38,51,41,123,125,361,566,3119,940.7111430981131,349.83209322261445,0.0009973465623615834,5.700325077160769e-07,4.6013399223094355e-11,2.150928982126082e-11,6.736481403188291e-22,1.570270707029319e-14,6.395022029249661e-23,246356.5,2701.530210852623,33.2
0,0,4,94,165,173,244,605,3061,911.3788158511339,379.2604140887683,0.0009564869070437651,4.544283211775388e-07,9.399828164788797e-11,2.4190020513657183e-11,9.742024743002037e-22,8.324715324756932e-15,6.176339129681136e-22,248535.0,2694.5079135894775,33.2
